"","CellType","annotLevel","p","fold_change","sd_from_mean","q","MajorCellType","testList"
"Exc_L6_THEMIS_EGR3","Exc_L6_THEMIS_EGR3",2,0,1.65388562657857,5.76985244764596,0,"Exc","Splicing regulation"
"Exc_L2_4_RORB_GRIK1","Exc_L2_4_RORB_GRIK1",2,0,1.48584722748702,5.16968154487944,0,"Exc","Splicing regulation"
"Exc_L4_6_RORB_HPCA","Exc_L4_6_RORB_HPCA",2,2e-04,1.69560250389429,5.73717768876708,0.006,"Exc","Splicing regulation"
"Exc_L6_THEMIS_LINC00343","Exc_L6_THEMIS_LINC00343",2,2e-04,1.43823012802188,4.60845431618755,0.006,"Exc","Splicing regulation"
"Exc_L4_5_RORB_RPL31P31","Exc_L4_5_RORB_RPL31P31",2,3e-04,1.57018737825545,5.78878046478889,0.0072,"Exc","Splicing regulation"
"Exc_L5_6_THEMIS_TMEM233","Exc_L5_6_THEMIS_TMEM233",2,0.001,1.444245260165,3.99540720326653,0.02,"Exc","Splicing regulation"
"Exc_L3_4_RORB_SEMA6D","Exc_L3_4_RORB_SEMA6D",2,0.0015,1.38620537427554,3.67437089251045,0.0257142857142857,"Exc","Splicing regulation"
"Exc_L4_5_RORB_LINC01474","Exc_L4_5_RORB_LINC01474",2,0.0021,1.46960192734767,4.20812065703537,0.0315,"Exc","Splicing regulation"
"Inh_L2_4_PVALB_C8orf4","Inh_L2_4_PVALB_C8orf4",2,0.0025,1.37324139174166,3.49131519401498,0.0324,"Inh","Splicing regulation"
"Inh_L1_4_LAMP5_DUSP4","Inh_L1_4_LAMP5_DUSP4",2,0.0027,1.48329409160705,3.83431955032753,0.0324,"Inh","Splicing regulation"
"Exc_L2_3_LINC00507_RPL9P17","Exc_L2_3_LINC00507_RPL9P17",2,0.0035,1.4268436982475,3.82472520284075,0.0381818181818182,"Exc","Splicing regulation"
"Inh_L3_5_SST_MAFB","Inh_L3_5_SST_MAFB",2,0.0043,1.43894707552588,3.68730960434608,0.043,"Inh","Splicing regulation"
"Inh_L1_PAX6_CA4","Inh_L1_PAX6_CA4",2,0.0049,1.47318391298336,3.43957935461211,0.04425,"Inh","Splicing regulation"
"Exc_L4_RORB_BHLHE22","Exc_L4_RORB_BHLHE22",2,0.0055,1.53616916773324,4.11743137092934,0.04425,"Exc","Splicing regulation"
"Exc_L4_5_RORB_LCN15","Exc_L4_5_RORB_LCN15",2,0.0058,1.32000305308872,3.09842253406662,0.04425,"Exc","Splicing regulation"
"Inh_L3_4_PVALB_HOMER3","Inh_L3_4_PVALB_HOMER3",2,0.0059,1.44750956742228,3.5384939701836,0.04425,"Inh","Splicing regulation"
"Exc_L5_6_THEMIS_GPR21","Exc_L5_6_THEMIS_GPR21",2,0.0071,1.43373250846793,3.24577207132938,0.0492631578947368,"Exc","Splicing regulation"
"Inh_L1_3_VIP_ZNF322P1","Inh_L1_3_VIP_ZNF322P1",2,0.0075,1.36903207734292,2.9792573442135,0.0492631578947368,"Inh","Splicing regulation"
"Inh_L1_LAMP5_NDNF","Inh_L1_LAMP5_NDNF",2,0.0078,1.44291373284172,3.32879872924062,0.0492631578947368,"Inh","Splicing regulation"
"Inh_L6_LAMP5_C1QL2","Inh_L6_LAMP5_C1QL2",2,0.0087,1.60072685306801,3.41471749337551,0.0501818181818182,"Inh","Splicing regulation"
"Exc_L4_RORB_CCDC168","Exc_L4_RORB_CCDC168",2,0.0091,1.41597777026152,3.03802540888465,0.0501818181818182,"Exc","Splicing regulation"
"Inh_L4_6_SST_MTHFD2P6","Inh_L4_6_SST_MTHFD2P6",2,0.0092,1.35962244096347,2.93864665794234,0.0501818181818182,"Inh","Splicing regulation"
"Inh_L1_SST_CXCL14","Inh_L1_SST_CXCL14",2,0.01,1.42203562434597,3.11902546407501,0.0504,"Inh","Splicing regulation"
"Exc_L5_RORB_SNHG7","Exc_L5_RORB_SNHG7",2,0.0103,1.28867041549688,2.71683049338815,0.0504,"Exc","Splicing regulation"
"Inh_L1_6_VIP_RGS16","Inh_L1_6_VIP_RGS16",2,0.0105,1.50415796762118,3.4752940968188,0.0504,"Inh","Splicing regulation"
"Exc_L4_5_RORB_HNRNPA1P46","Exc_L4_5_RORB_HNRNPA1P46",2,0.0116,1.46132901072578,3.33966360226666,0.052,"Exc","Splicing regulation"
"Exc_L3_LINC00507_PSRC1","Exc_L3_LINC00507_PSRC1",2,0.0117,1.37635585951117,2.84988217306472,0.052,"Exc","Splicing regulation"
"Inh_L5_6_LAMP5_SFTA3","Inh_L5_6_LAMP5_SFTA3",2,0.0135,1.44592548796993,3.0574414259282,0.0534545454545454,"Inh","Splicing regulation"
"Exc_L3_5_RORB_CMAHP","Exc_L3_5_RORB_CMAHP",2,0.0144,1.45728314371739,3.17159956586073,0.0534545454545454,"Exc","Splicing regulation"
"Inh_L6_LAMP5_ANKRD20A11P","Inh_L6_LAMP5_ANKRD20A11P",2,0.0144,1.76777295350841,3.04525015582458,0.0534545454545454,"Inh","Splicing regulation"
"Exc_L3_4_RORB_PRSS12","Exc_L3_4_RORB_PRSS12",2,0.0144,1.29256103523763,2.67195054616533,0.0534545454545454,"Exc","Splicing regulation"
"Inh_L4_5_PVALB_TRIM67","Inh_L4_5_PVALB_TRIM67",2,0.0145,1.47113713884716,2.79705866565567,0.0534545454545454,"Inh","Splicing regulation"
"Exc_L3_5_THEMIS_ELOF1","Exc_L3_5_THEMIS_ELOF1",2,0.0147,1.39921064879243,2.94586570076426,0.0534545454545454,"Exc","Splicing regulation"
"Exc_L5_6_RORB_LINC00320","Exc_L5_6_RORB_LINC00320",2,0.0168,1.33251051147933,2.6236273629501,0.0579428571428571,"Exc","Splicing regulation"
"Exc_L5_RORB_LINC01202","Exc_L5_RORB_LINC01202",2,0.0169,1.42718611680635,2.93886502040715,0.0579428571428571,"Exc","Splicing regulation"
"Exc_L5_6_THEMIS_OR1J1","Exc_L5_6_THEMIS_OR1J1",2,0.0177,1.47155292047947,2.25645125951219,0.0581538461538462,"Exc","Splicing regulation"
"Exc_L3_LINC00507_CTXN3","Exc_L3_LINC00507_CTXN3",2,0.0183,1.33223298966196,2.38292000153164,0.0581538461538462,"Exc","Splicing regulation"
"Inh_L1_6_LAMP5_CA13","Inh_L1_6_LAMP5_CA13",2,0.0188,1.42477816279457,2.8919428272578,0.0581538461538462,"Inh","Splicing regulation"
"Exc_L6_FEZF2_FAM95C","Exc_L6_FEZF2_FAM95C",2,0.0189,1.28846783891125,2.49117571000298,0.0581538461538462,"Exc","Splicing regulation"
"Inh_L3_VIP_CBLN1","Inh_L3_VIP_CBLN1",2,0.0215,1.39778029470636,2.31459112402018,0.0622857142857143,"Inh","Splicing regulation"
"Exc_L3_4_RORB_RPS3P6","Exc_L3_4_RORB_RPS3P6",2,0.0217,1.44163729146048,2.70100837357306,0.0622857142857143,"Exc","Splicing regulation"
